,Week,Mins,Goals,Assists,Clean_Sheets,Goals_Conceded,Yellow_Cards,Red_Cards,Saves,Bonus,PPI,BPS,Net_Transfers,Value,Points,serialID,ID,Name,Team,Position,Availabilty,Selection,EA_INDEX,Price
673,465,329,0,0,1,4,1,0,0,0,33,43,167,88,11,674,674,Filip Djuricic,SOU,MD,100,0,33,5.7
676,465,0,0,0,0,0,0,0,0,0,0,0,144,67.5,0,677,677,Jake Flannigan,SOU,MD,,0,0,4.5
362,742,0,0,0,0,0,0,0,0,0,0,0,-1872,183.2,0,363,363,Brad Friedel,TOT,GK,,0.1,0,4.7
363,742,3063,0,0,8,48,0,0,107,6,389,535,35568,211.5,121,364,364,Hugo Lloris,TOT,GK,100,8.9,389,5.4
365,742,2367,3,5,6,38,7,0,0,10,406,520,302914,186.7,103,366,366,Danny Rose,TOT,DEF,100,6.4,406,4.8
366,742,0,0,0,0,0,0,0,0,0,0,0,-10934,167.4,0,367,367,Benoit Assou-Ekotto,TOT,DEF,100,0.2,0,4.4
367,742,990,0,0,3,16,2,0,0,2,108,177,-788,183.6,28,368,368,Younes Kaboul,TOT,DEF,100,1.6,108,4.6
368,742,1306,0,1,1,24,3,0,0,1,201,218,-18765,221.2,27,369,369,Kyle Walker,TOT,DEF,100,0.6,201,5.8
370,742,2811,1,0,7,44,6,0,0,11,395,576,-7587,224.6,90,371,371,Jan Vertonghen,TOT,DEF,100,1.9,395,5.8
371,742,707,0,0,2,11,2,1,0,3,69,118,-4586,180,20,372,372,Vlad Chiriches,TOT,DEF,100,0.1,69,4.7
373,742,0,0,0,0,0,0,0,0,0,0,0,-2829,148.7,0,374,374,Milos Veljkovic,TOT,DEF,,0.2,0,3.9
374,742,0,0,0,0,0,0,0,0,0,0,0,-4820,152,0,375,375,Ryan Fredericks,TOT,DEF,0,0.1,0,4
375,742,1146,1,2,2,22,1,0,0,2,202,259,1126,198.6,49,376,376,Mousa Demb_l_,TOT,MD,100,0.4,202,5
378,742,0,0,0,0,0,0,0,0,0,0,0,-146,171,0,379,379,Iago Falque,TOT,MD,0,0,0,4.5
381,742,489,0,1,2,6,3,0,0,1,66,79,-43742,256.6,21,382,382,Jos_ Paulo Bezerra Maciel Jœnior,TOT,MD,100,1,66,6.7
382,742,749,2,3,2,15,2,0,0,2,175,140,-16482,237,44,383,383,Andros Townsend,TOT,MD,100,0.4,175,6.2
383,742,2407,11,6,7,40,3,0,0,20,564,574,413707,241.7,160,384,384,Nacer Chadli,TOT,MD,100,11.1,564,6.2
384,742,897,0,0,3,15,2,0,0,0,118,142,-991,186.2,23,385,385,Etienne Capoue,TOT,MD,100,0.1,118,4.8
385,742,2300,2,7,6,30,6,0,0,6,427,407,-54718,289.7,93,386,386,Erik Lamela,TOT,MD,100,1.4,427,7.4
386,742,3132,10,4,9,49,4,0,0,25,641,689,501717,308.1,162,387,387,Christian Eriksen,TOT,MD,,18.4,641,7.9
387,742,2193,0,2,5,35,8,0,0,3,309,390,-1524,166.5,55,388,388,Nabil Bentaleb,TOT,MD,100,0.9,309,4.3
388,742,0,0,0,0,0,0,0,0,0,0,0,-505,167.6,0,389,389,Harry Winks,TOT,MD,,0,0,4.4
389,742,0,0,0,0,0,0,0,0,0,0,0,-5,171,0,390,390,Alex Pritchard,TOT,MD,0,0,0,4.5
390,742,30,0,0,0,0,0,0,0,0,6,2,-9952,220.7,1,391,391,Lewis Holtby,TOT,MD,0,0.1,6,5.8
391,742,813,2,2,3,9,1,0,0,6,166,99,-53491,308.7,40,392,392,Emmanuel Adebayor,TOT,FWD,100,1.8,166,7.9
392,742,2581,21,7,6,39,4,0,0,32,826,672,1642147,211.6,191,393,393,Harry Kane,TOT,FWD,,44.8,826,6
393,742,804,1,1,1,14,1,0,0,2,111,100,-47260,290.3,36,394,394,Roberto Soldado,TOT,FWD,100,0.8,111,7.6
446,742,357,0,0,1,5,0,0,12,1,46,61,-8075,181.1,14,447,447,Michel Vorm,TOT,GK,100,0.4,46,4.7
454,742,895,0,1,2,12,3,0,0,2,126,160,-108776,170,31,455,455,Ben Davies,TOT,DEF,0,0.8,126,4.4
547,742,2293,2,3,6,37,4,0,0,12,346,452,216237,185.8,93,548,548,Eric Dier,TOT,DEF,100,11.1,346,4.6
590,739,1776,0,0,5,27,2,1,0,3,271,327,1206,182.7,50,591,591,Federico Fazio,TOT,DEF,100,0.1,271,4.7
594,736,459,0,0,1,3,4,0,0,0,58,69,114,165,12,595,595,Benjamin Stambouli,TOT,MD,,0,58,4.6
612,727,2313,1,4,7,36,10,0,0,4,367,403,10049,160.3,75,613,613,Ryan Mason,TOT,MD,100,0.2,367,4.5
629,676,0,0,0,0,0,0,0,0,0,0,0,61,135,0,630,630,Cristian Ceballos,TOT,MD,,0,0,5
630,676,0,0,0,0,0,0,0,0,0,0,0,606,108,0,631,631,Dominic Ball,TOT,DEF,,0,0,4
659,511,12,0,0,0,0,0,0,0,0,0,4,382,74,1,660,660,DeAndre Yedlin,TOT,DEF,,0,0,4.3
