Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS
Jefferson Montero,SWA,MID,46,0,2,1355,0,0,0,0,0,0,4
Jeffrey Schlupp,LEI,DEF,52,1,4,1387,0,4,0,0,0,2,2
Jeremain Lens,SUN,MID,57,3,4,1294,1,3,0,0,0,3,1
Jermain Defoe,SUN,FWD,138,15,2,2550,0,3,0,0,0,15,5
Jerome,NOR,FWD,72,3,2,1778,0,2,0,0,0,3,2
Jerome Sinclair,AVL,FWD,56,2,0,1595,0,0,0,0,0,2,3
Jesse Lingard,MUN,MID,76,4,1,1632,0,4,0,0,0,5,9
Jesús Navas,MCI,MID,99,0,10,2282,0,1,0,0,0,1,12
Joe Allen,LIV,MID,42,2,1,736,0,0,0,0,0,2,1
Joe Hart,MCI,GK,134,0,0,3109,0,0,71,0,0,3,15
Joe Ledley,CRY,MID,37,1,0,981,0,1,0,0,0,2,2
Joel Campbell,ARS,MID,54,3,2,884,0,0,0,0,0,7,5
Joel Robles,EVE,GK,46,0,0,1170,0,1,45,0,0,3,3
Joel Ward,CRY,DEF,93,2,1,2691,0,4,0,0,0,10,6
John O'Shea,SUN,DEF,43,0,0,2009,0,2,0,0,0,0,2
John Obi Mikel,CHE,MID,45,0,1,1782,0,6,0,0,0,0,5
John Stones,EVE,DEF,82,0,0,2779,0,3,0,0,0,4,8
John Terry,CHE,DEF,57,1,0,1987,2,2,0,0,0,6,6
Joleon Lescott,AVL,DEF,85,3,0,2809,0,2,0,0,0,9,5
Jon Flanagan,LIV,DEF,21,0,1,420,0,1,0,0,0,2,2
Jonas Olsson,WBA,DEF,71,1,1,2013,0,5,0,0,0,8,5
Jonathan Leko,WBA,MID,11,0,1,271,0,0,0,0,0,0,0
Jonathan Walters,STK,MID,87,5,2,1728,0,1,0,0,0,6,7
Jonathan Williams,CRY,MID,1,0,0,11,0,0,0,0,0,0,0
Jonjo Shelvey,NEW,MID,78,1,6,2266,0,8,0,0,0,5,3
Jonjoe Kenny,EVE,DEF,10,0,1,62,0,0,0,0,0,1,1
Jonny Evans,WBA,DEF,96,1,1,2590,0,4,0,0,0,11,8
Jordan Ayew,AVL,FWD,86,7,0,2349,1,6,0,0,0,13,4
Jordan Henderson,LIV,MID,57,2,3,1290,0,1,0,0,0,3,5
Jordan Pickford,SUN,GK,4,0,0,180,0,0,11,0,0,0,0
Jordi Amat,SWA,DEF,17,0,0,463,0,0,0,0,0,0,1
Jordon Ibe,LIV,MID,61,1,3,1177,0,0,0,0,0,4,5
Jordon Mutch,CRY,MID,25,0,0,803,0,0,0,0,0,0,0
