Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS,£
Harrison Reed,SOU,MID,3,0,0,64,0,0,0,0,0,0,0,£4.3
Harry Arter,BOU,MID,84,1,4,2956,1,11,0,0,1,6,9,£5
Harry Kane,TOT,FWD,224,29,7,2523,0,3,0,0,1,33,14,£11.9
Harry Lewis,SOU,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Harry Maguire,HUL,DEF,71,2,3,2307,0,5,0,0,0,5,4,£4.4
Harry Wilson,LIV,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Harry Winks,TOT,MID,30,1,1,494,0,1,0,0,0,0,0,£4.5
Henrikh Mkhitaryan,MUN,MID,73,4,1,1348,0,1,0,0,0,3,10,£8.7
Heung-Min Son,TOT,MID,174,14,9,2063,0,2,0,0,0,13,10,£7.2
Heurelho Gomes,WAT,GK,113,0,0,3337,0,1,117,1,0,6,7,£4.9
Hiram Boateng,CRY,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Hugo Lloris,TOT,GK,143,0,0,3004,0,0,78,0,0,6,15,£5.5
Håvard Nordtveit,WHU,MID,31,0,1,957,0,2,0,0,0,0,3,£4.7
Héctor Bellerín,ARS,DEF,119,1,5,2503,0,4,0,0,0,12,10,£6.5
Ibrahim Afellay,STK,MID,15,0,0,384,0,0,0,0,0,0,0,£5.4
Idrissa Gueye,EVE,MID,80,1,2,2681,0,11,0,0,0,9,9,£5
Ikechi Anya,WAT,MID,1,0,0,10,0,0,0,0,0,0,0,£4.5
Ilkay Gündogan,MCI,MID,41,3,1,704,0,0,0,0,0,2,3,£4.9
Isaac Success,WAT,MID,28,1,1,519,0,2,0,0,0,0,1,£5.7
Islam Slimani,LEI,FWD,83,7,4,1281,0,1,0,0,0,9,5,£8.2
Jack Butland,STK,GK,20,0,0,450,0,0,17,0,0,2,2,£4.5
Jack Cork,SWA,MID,50,0,1,2232,0,7,0,0,0,0,3,£4.6
Jack Rodwell,SUN,MID,38,0,1,1492,0,4,0,0,0,1,2,£4.3
Jack Rose,WBA,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Jack Stephens,SOU,DEF,60,0,1,1471,0,1,0,0,0,10,6,£4.2
Jack Wilshere,BOU,MID,61,0,3,1950,0,4,0,0,0,2,5,£5.8
Jake Hesketh,SOU,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Jake Livermore,WBA,MID,77,1,1,2970,1,5,0,0,0,2,4,£4.7
Jakob Haugaard,STK,GK,0,0,0,0,0,0,0,0,0,0,0,£4.3
James Chester,WBA,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.5
James Collins,WHU,DEF,69,2,0,1655,0,3,0,0,0,7,6,£4.2
James Husband,MID,DEF,0,0,0,58,0,0,0,0,0,0,0,£4
James McArthur,CRY,MID,93,5,3,1999,0,5,0,0,0,8,3,£4.7
James McCarthy,EVE,MID,23,1,1,613,0,2,0,0,0,0,0,£4.7
James McClean,WBA,MID,52,1,3,1477,0,9,0,0,0,1,2,£4.8
James Milner,LIV,MID,139,7,4,3154,0,5,0,0,1,16,12,£6.3
James Morrison,WBA,MID,84,5,2,1741,0,3,0,0,0,4,4,£4.3
James Tarkowski,BUR,DEF,23,0,0,568,0,1,0,0,0,0,1,£4
James Tomkins,CRY,DEF,75,3,0,1974,0,4,0,0,0,5,6,
James Ward-Prowse,SOU,MID,92,4,4,1883,0,4,0,0,0,5,9,£5
James Weir,HUL,MID,0,0,0,0,0,0,0,0,0,0,0,£4.3
James Wilson,MUN,FWD,0,0,0,0,0,0,0,0,0,0,0,£5
Jamie Vardy,LEI,FWD,161,13,8,2801,1,2,0,0,0,24,7,£9.9
Jan Kirchhoff,SUN,MID,12,0,1,433,0,1,0,0,0,0,0,£4.2
Jan Vertonghen,TOT,DEF,126,0,0,2894,0,5,0,0,0,8,15,£5.8
Jarrod Bowen,HUL,FWD,8,0,0,181,0,0,0,0,0,0,0,£4.5
Jason Denayer,SUN,DEF,56,0,0,1878,0,2,0,0,0,2,6,£4.7
Jason Puncheon,CRY,MID,92,0,6,3093,0,9,0,0,0,6,7,£5.1
Javier Manquillo,SUN,DEF,38,1,0,1430,0,2,0,0,0,0,2,£4.3
Jay Fulton,SWA,MID,19,0,0,690,0,2,0,0,0,0,3,£4.4
Jay Rodriguez,SOU,MID,73,5,2,893,0,0,0,0,0,8,3,£5.9
Jeff Hendrick,BUR,MID,76,2,1,2691,1,6,0,0,0,1,9,£5.3
Jeff Reine-Adelaide,ARS,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Jefferson Montero,SWA,MID,18,0,1,380,0,0,0,0,0,0,0,£5
